id,strategy_name,symbol,start_date,end_date,initial_capital,final_capital,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,total_trades,winning_trades,losing_trades,avg_win,avg_loss,profit_factor
391,bollinger-breakout-v1,600036,2024-07-01,2024-12-31,1000000,1000000,0.0705,0.147220053801139,0.8140325979420345,-0.07459895035230094,1,1,0,0,0,0,0
356,bollinger-breakout-v1,600519,2023-01-01,2023-12-31,1000000,1000000,-0.061645,-0.06410889400322661,-0.9414459696429449,-0.07757,0.3333333333333333,3,0,0,0,0,0.20452932447254663
370,bollinger-breakout-v1,600519,2024-01-01,2024-06-30,1000000,1000000,-0.06038,-0.12553322651876198,-2.000739405280394,-0.07987739793770013,0,3,0,0,0,0,0
388,bollinger-breakout-v1,600519,2024-07-01,2024-12-31,1000000,1000000,-0.08221200000000023,-0.15882060088520833,-0.8036471804943207,-0.18880325260738928,0.3333333333333333,3,0,0,0,0,0.018762532225721874
364,bollinger-breakout-v1,600900,2023-01-01,2023-12-31,1000000,1000000,-0.013732,-0.014295363070490619,-0.13596104274481774,-0.08363584801355879,0.25,4,0,0,0,0,0.5098208687104919
380,bollinger-breakout-v1,600900,2024-01-01,2024-06-30,1000000,1000000,0.111647,0.2560462504701362,1.8089658688288102,-0.05041364608753079,0.5,2,0,0,0,0,2.885006561679771
394,bollinger-breakout-v1,600900,2024-07-01,2024-12-31,1000000,1000000,0.05712,0.11849634063148207,1.8520697773377666,-0.01640375768237494,0,0,0,0,0,0,0
365,bollinger-breakout-v1,601166,2023-01-01,2023-12-31,1000000,1000000,-0.046270999999999764,-0.04813626424532813,-0.9108505628016018,-0.060621194138836904,0.3333333333333333,3,0,0,0,0,0.1699226808747311
379,bollinger-breakout-v1,601166,2024-01-01,2024-06-30,1000000,1000000,0.025739999999999885,0.05626436487316888,0.686057242774231,-0.04199837864291676,0.5,2,0,0,0,0,2.1936560934891305
395,bollinger-breakout-v1,601166,2024-07-01,2024-12-31,1000000,1000000,0.050791,0.10503733220674816,0.6166194568346318,-0.06990568483472025,0.5,2,0,0,0,0,2.136777530191745
366,bollinger-breakout-v1,601288,2023-01-01,2023-12-31,1000000,1000000,0.190729,0.19934932946864525,1.3623806113194017,-0.10025475728871827,0.6666666666666666,3,0,0,0,0,29.040135254336942
381,bollinger-breakout-v1,601288,2024-01-01,2024-06-30,1000000,1000000,0.03161199999999988,0.06933114112621475,0.6164717810272768,-0.06101238995761341,1,2,0,0,0,0,0
396,bollinger-breakout-v1,601288,2024-07-01,2024-12-31,1000000,1000000,-0.016199999999999885,-0.03239045116273742,-0.22495665895926956,-0.10089395480736382,0,2,0,0,0,0,0
359,bollinger-breakout-v1,601318,2023-01-01,2023-12-31,1000000,1000000,-0.041705999999999764,-0.04339145637838604,-0.2930944536635083,-0.09438559021707285,0,3,0,0,0,0,0
377,bollinger-breakout-v1,601318,2024-01-01,2024-06-30,1000000,1000000,-0.045305000000000116,-0.09503548616619817,-2.4305647046602528,-0.050759336850457276,0,1,0,0,0,0,0
389,bollinger-breakout-v1,601318,2024-07-01,2024-12-31,1000000,1000000,0.116968,0.24982760895596456,0.9321900230192837,-0.1412826544889832,0.3333333333333333,3,0,0,0,0,2.428145832824599
371,bollinger-breakout-v1,688981,2023-01-01,2023-12-31,1000000,1000000,0.162105,0.1693417593581581,0.7722249331931401,-0.17393597346002243,0.3333333333333333,3,0,0,0,0,4.307252881770887
387,bollinger-breakout-v1,688981,2024-01-01,2024-06-30,1000000,1000000,-0.07689800000000012,-0.15830803253686532,-1.166996186906656,-0.09382276018243879,0.3333333333333333,3,0,0,0,0,0.03790911820638569
401,bollinger-breakout-v1,688981,2024-07-01,2024-12-31,1000000,1000000,0.849804,2.4556157111324346,2.240045066843925,-0.17175208581644816,1,1,0,0,0,0,0
458,dual-ma-cross-v1,000333,2023-01-01,2023-12-31,1000000,1000000,-0.125413,-0.13024249748645567,-1.1255886472204055,-0.158921,0.2,5,0,0,0,0,0.03559182553833493
472,dual-ma-cross-v1,000333,2024-01-01,2024-06-30,1000000,1000000,0.0055500000000001165,0.011992132330679084,0.16095937729979365,-0.09982678457471054,1,1,0,0,0,0,0
